Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.745536,4.017857,3.631696,3.997768,3.596616,133949200
2000-01-04,3.866071,3.950893,3.613839,3.660714,3.293384,128094400
2000-01-05,3.705357,3.948661,3.678571,3.714286,3.341579,194580400
2000-01-06,3.790179,3.821429,3.392857,3.392857,3.052405,191993200
2000-01-07,3.446429,3.607143,3.410714,3.553571,3.196992,115183600
2000-01-10,3.642857,3.651786,3.383929,3.491071,3.140763,126266000
2000-01-11,3.426339,3.549107,3.232143,3.312500,2.980111,110387200
2000-01-12,3.392857,3.410714,3.089286,3.113839,2.801384,244017200
2000-01-13,3.374439,3.526786,3.303571,3.455357,3.108633,258171200
2000-01-14,3.571429,3.651786,3.549107,3.587054,3.227114,97594000
2000-01-18,3.607143,3.785714,3.587054,3.712054,3.339571,114794400
2000-01-19,3.772321,3.883929,3.691964,3.805804,3.423914,149410800
2000-01-20,4.125000,4.339286,4.053571,4.053571,3.646819,457783200
2000-01-21,4.080357,4.080357,3.935268,3.975446,3.576534,123981200
2000-01-24,3.872768,4.026786,3.754464,3.794643,3.413873,110219200
2000-01-25,3.750000,4.040179,3.656250,4.008929,3.606657,124286400
2000-01-26,3.928571,4.078125,3.919643,3.935268,3.540388,91789600
2000-01-27,3.886161,4.035714,3.821429,3.928571,3.534363,85036000
2000-01-28,3.863839,3.959821,3.593750,3.629464,3.265270,105837200
2000-01-31,3.607143,3.709821,3.375000,3.705357,3.333547,175420000
2000-02-01,3.714286,3.750000,3.571429,3.580357,3.221090,79508800
2000-02-02,3.598214,3.647321,3.464286,3.529018,3.174902,116048800
2000-02-03,3.582589,3.723214,3.580357,3.689732,3.319489,118798400
2000-02-04,3.712054,3.928571,3.700893,3.857143,3.470102,106330000
2000-02-07,3.857143,4.080357,3.783482,4.073661,3.664894,110266800
2000-02-08,4.071429,4.147321,3.973214,4.102679,3.691000,102160800
2000-02-09,4.075893,4.183036,4.015625,4.022321,3.618706,74841200
2000-02-10,4.031250,4.066964,3.928571,4.053571,3.646819,75745600
2000-02-11,4.058036,4.075893,3.866071,3.883929,3.494199,53062800
2000-02-14,3.904018,4.138393,3.879464,4.136161,3.721122,91884800
2000-02-15,4.116071,4.283482,4.113839,4.250000,3.823538,121436000
2000-02-16,4.205357,4.218750,4.004464,4.075893,3.666902,94561600
2000-02-17,4.113839,4.125000,4.040179,4.102679,3.691000,72374400
2000-02-18,4.093750,4.120536,3.959821,3.973214,3.574527,58360400
2000-02-22,3.933036,4.176339,3.810268,4.064732,3.656860,105574000
2000-02-23,4.044082,4.250000,3.964286,4.151786,3.735179,118274800
2000-02-24,4.189732,4.254464,3.991071,4.114397,3.701541,94108000
2000-02-25,4.100446,4.178571,3.933036,3.941964,3.546412,62286000
2000-02-28,3.933036,4.107143,3.870536,4.044643,3.638787,82082000
2000-02-29,4.055804,4.187500,4.020089,4.093750,3.682966,92240400
2000-03-01,4.234375,4.716518,4.232143,4.654018,4.187015,269250800
2000-03-02,4.535714,4.569196,4.310268,4.357143,3.919930,77814800
2000-03-03,4.459821,4.579796,4.285714,4.571429,4.112713,80841600
2000-03-06,4.500000,4.611607,4.464286,4.488839,4.038411,52640000
2000-03-07,4.515625,4.551339,4.325893,4.388393,3.948044,68252800
2000-03-08,4.388393,4.426339,4.234375,4.357143,3.919930,67807600
2000-03-09,4.316964,4.464286,4.223214,4.366071,3.927962,69179600
2000-03-10,4.345982,4.569196,4.321429,4.491071,4.040419,62151600
2000-03-13,4.361607,4.517857,4.267857,4.332589,3.897840,75989200
2000-03-14,4.329239,4.437500,4.071429,4.080357,3.670918,107144800
2000-03-15,4.129464,4.294643,4.075893,4.151786,3.735179,110902400
2000-03-16,4.189732,4.357143,4.089286,4.341518,3.905873,94525200
2000-03-17,4.290179,4.464286,4.272321,4.464286,4.016321,76260800
2000-03-20,4.410714,4.508929,4.370536,4.392857,3.952060,51122400
2000-03-21,4.377232,4.883929,4.343750,4.819196,4.335619,131082000
2000-03-22,4.742186,5.156250,4.698661,5.149554,4.632829,141999200
2000-03-23,5.071429,5.370536,5.000000,5.046875,4.540451,140641200
2000-03-24,5.087054,5.140625,4.839286,4.953125,4.456108,111728400
2000-03-27,4.915179,5.169643,4.888393,4.984375,4.484223,69795600
2000-03-28,4.901786,5.071429,4.897321,4.968750,4.470166,50741600
2000-03-29,4.977679,4.979911,4.779575,4.854911,4.367750,59959200
2000-03-30,4.770089,4.917411,4.479911,4.491071,4.040419,103600000
2000-03-31,4.551339,4.901786,4.500000,4.850446,4.363732,101158400
2000-04-03,4.839286,4.982143,4.622768,4.761161,4.283408,82140800
2000-04-04,4.736607,4.750000,4.169643,4.546875,4.090623,165082400
2000-04-05,4.516739,4.745536,4.428571,4.656250,4.189024,114416400
2000-04-06,4.665179,4.803571,4.401786,4.470982,4.022346,64906800
2000-04-07,4.544643,4.709821,4.482143,4.705357,4.233203,60608800
2000-04-10,4.703125,4.741071,4.455357,4.464286,4.016321,53065600
2000-04-11,4.410714,4.459821,4.216518,4.265625,3.837595,135455600
2000-04-12,4.250000,4.250000,3.745536,3.901786,3.510265,235284000
2000-04-13,3.982143,4.285714,3.875000,4.064732,3.656860,132456800
2000-04-14,3.904018,4.214286,3.892857,3.995536,3.594608,166905200
2000-04-17,3.910714,4.426339,3.895089,4.424107,3.980175,102390400
2000-04-18,4.410714,4.531250,4.263393,4.531250,4.076567,97731200
2000-04-19,4.506696,4.651786,4.276786,4.325893,3.891816,130037600
2000-04-20,4.417411,4.455357,4.180804,4.245536,3.819521,180530000
2000-04-24,4.107143,4.303571,4.098214,4.303571,3.871734,110905200
2000-04-25,4.361607,4.598214,4.359375,4.582589,4.122753,97910400
2000-04-26,4.522321,4.571429,4.285714,4.332589,3.897840,91728000
2000-04-27,4.185268,4.535714,4.163504,4.526786,4.072551,81650800
2000-04-28,4.540179,4.553571,4.332589,4.430804,3.986199,62395200
2000-05-01,4.459821,4.468750,4.352679,4.439732,3.994231,56548800
2000-05-02,4.401786,4.508929,4.196429,4.209821,3.787390,59108000
2000-05-03,4.247768,4.330357,3.986607,4.109375,3.697024,122449600
2000-05-04,4.111607,4.116071,3.948661,3.953125,3.556453,99878800
2000-05-05,3.957589,4.098214,3.954239,4.040179,3.634771,71019200
2000-05-08,4.003346,4.060268,3.928571,3.933036,3.538379,46225200
2000-05-09,3.939732,3.973214,3.745536,3.765625,3.387767,81785200
2000-05-10,3.716518,3.750000,3.526786,3.546875,3.190968,133772800
2000-05-11,3.620536,3.723214,3.535714,3.671875,3.303425,124936000
2000-05-12,3.785714,3.946429,3.741629,3.843750,3.458053,76728400
2000-05-15,3.859375,3.859375,3.575893,3.607143,3.245188,169733200
2000-05-16,3.732700,3.895089,3.669643,3.774554,3.395800,110112800
2000-05-17,3.700893,3.703125,3.584821,3.620536,3.257236,99523200
2000-05-18,3.678571,3.747768,3.593750,3.598214,3.237155,93444400
2000-05-19,3.544643,3.544643,3.334821,3.357143,3.020274,185166800
2000-05-22,3.348214,3.348214,3.071429,3.212054,2.889744,188876800
2000-05-23,3.232143,3.334821,3.058036,3.064732,2.757205,129396400
2000-05-24,3.078125,3.205357,2.964286,3.131696,2.817450,169615600
2000-05-25,3.160714,3.309150,3.071429,3.116629,2.803894,101687600
2000-05-26,3.142857,3.209821,3.044643,3.084821,2.775278,45287200
2000-05-30,3.129464,3.147321,2.919643,3.127232,2.813433,178264800
2000-05-31,3.102679,3.258929,2.993304,3.000000,2.698968,108376800
2000-06-01,2.919643,3.198661,2.870536,3.183036,2.863637,225960000
2000-06-02,3.348214,3.562500,3.178571,3.305804,2.974086,198212000
2000-06-05,3.332589,3.401786,3.203125,3.261161,2.933922,80917200
2000-06-06,3.284596,3.455357,3.225446,3.316964,2.984127,131370400
2000-06-07,3.343750,3.464286,3.272321,3.448661,3.102608,84254800
2000-06-08,3.486607,3.517857,3.325893,3.386161,3.046380,59631600
2000-06-09,3.455357,3.497768,3.370536,3.419643,3.076503,63089600
2000-06-12,3.441964,3.444196,3.245536,3.256696,2.929907,72584400
2000-06-13,3.256696,3.381696,3.149554,3.375000,3.036339,87864000
2000-06-14,3.381696,3.437500,3.218750,3.229911,2.905808,69361600
2000-06-15,3.258929,3.334821,3.178571,3.299107,2.968061,62143200
2000-06-16,3.339286,3.348214,3.180804,3.256696,2.929907,75891200
2000-06-19,3.234375,3.495536,3.207589,3.450893,3.104617,98501200
2000-06-20,3.517857,3.712054,3.513393,3.616071,3.253220,125347600
2000-06-21,3.607143,4.066964,3.593750,3.973214,3.574527,122500000
2000-06-22,3.982143,4.116071,3.825893,3.839286,3.454037,116928000
2000-06-23,3.841514,3.901786,3.629464,3.691964,3.321498,51241400
2000-06-26,3.750000,3.910714,3.723214,3.866071,3.478135,46338600
2000-06-27,3.841514,3.964286,3.687500,3.696429,3.325514,50867600
2000-06-28,3.808036,3.955357,3.678571,3.888393,3.498216,71607200
2000-06-29,3.790179,3.852679,3.647321,3.660714,3.293384,50915200
2000-06-30,3.772321,3.924107,3.691964,3.741071,3.365678,80774400
2000-07-03,3.723214,3.879464,3.723214,3.808036,3.425922,17707200
2000-07-05,3.803571,3.941964,3.625000,3.687500,3.317482,66304000
2000-07-06,3.750000,3.781250,3.544643,3.700893,3.329531,77386400
2000-07-07,3.756693,3.915179,3.723214,3.888393,3.498216,65900800
2000-07-10,3.863836,4.160714,3.839286,4.080357,3.670918,99449000
2000-07-11,4.071429,4.232143,3.959821,4.066964,3.658869,89474000
2000-07-12,4.151786,4.209821,4.026786,4.205357,3.783375,56358400
2000-07-13,4.178571,4.330357,3.910714,4.035714,3.630754,111414800
2000-07-14,4.080357,4.214286,4.062500,4.120536,3.707065,47569200
2000-07-17,4.160714,4.200893,4.080357,4.165179,3.747228,65000600
2000-07-18,4.178571,4.205357,4.062500,4.089286,3.678951,79601200
2000-07-19,3.941964,4.058036,3.696429,3.763393,3.385759,114468200
2000-07-20,3.928571,4.075893,3.866071,3.937500,3.542396,116393200
2000-07-21,3.882807,3.973214,3.781250,3.825893,3.441988,49058800
2000-07-24,3.754464,3.776786,3.392857,3.477679,3.128714,103042800
2000-07-25,3.593750,3.616071,3.504464,3.575893,3.217074,52901800
2000-07-26,3.560264,3.660714,3.517857,3.575893,3.217074,52617600
2000-07-27,3.571429,3.803571,3.562500,3.714286,3.341579,73746400
2000-07-28,3.734371,3.750000,3.348214,3.450893,3.104617,59473400
2000-07-31,3.511157,3.687500,3.482143,3.629464,3.265270,38824800
2000-08-01,3.593750,3.654014,3.517857,3.522321,3.168878,34321000
2000-08-02,3.500000,3.566964,3.370536,3.375000,3.036339,40588800
2000-08-03,3.254464,3.433036,3.160714,3.428571,3.084535,84974400
